name,full_name,age,club,club_id,league,league_id,height_ft,height_ft_decimal,weight_kg,position,secondary_positions,nationality,preferred_foot,potential,pace,shooting,passing,dribbling,defending,physicality,is_goalkeeper,schema
K. Mbappé,Kylian Mbappé,26,Real Madrid,243,La Liga,53,"6'0""",5.97,75,ST,"LW, LM",France,Right,94,98.1,92,88.1,93.1,78.8,78,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
M. Salah,Mohamed Salah,33,Liverpool,9,Premier League,13,"5'9""",5.74,72,RM,RW,Egypt,Left,91,89.1,94.1,87.3,91.5,48.2,88.5,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
O. Dembélé,Ousmane Dembélé,28,Paris Saint-Germain,73,Ligue 1,16,"5'10""",5.84,67,ST,"RW, CAM",France,Left,90,91.9,91.9,90.1,94.1,74.9,70,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
E. Haaland,Erling Haaland,24,Manchester City,10,Premier League,13,"6'5""",6.4,94,ST,,Norway,Left,92,87.1,94.5,78.1,85.9,83.8,94,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Rodri,Rodri,29,Manchester City,10,Premier League,13,"6'3""",6.23,82,CDM,CM,Spain,Right,90,66,91.1,92.2,92.3,86.6,87.9,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
V. van Dijk,Virgil van Dijk,33,Liverpool,9,Premier League,13,"6'4""",6.33,92,CB,,Netherlands,Right,90,78.6,48,81.4,85.5,91.3,90.9,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
J. Bellingham,Jude Bellingham,22,Real Madrid,243,La Liga,53,"6'1""",6.1,75,CAM,CM,England,Right,94,81.5,90,90.8,91.3,80.1,84.9,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Vini Jr.,Vini Jr.,24,Real Madrid,243,La Liga,53,"5'9""",5.77,73,LW,"ST, LM",Brazil,Right,92,95.7,87.1,83.4,91.2,26.7,74.8,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
G. Donnarumma,Gianluigi Donnarumma,26,Manchester City,10,Premier League,13,"6'5""",6.43,90,GK,,Italy,Right,91,90.7,83.7,70.7,89.7,52.3,87.7,TRUE,DIV|HAN|KIC|REF|SPD|POS
J. Kimmich,Joshua Kimmich,30,FC Bayern München,21,Bundesliga,19,"5'10""",5.81,75,CDM,"RB, CM",Germany,Right,89,72.2,77.8,90.7,88.3,85.7,86,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
F. Valverde,Federico Valverde,26,Real Madrid,243,La Liga,53,"6'0""",5.97,74,CM,"CDM, RB",Uruguay,Right,90,93,87.4,88.4,88.4,87.5,94,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Raphinha,Raphinha,28,FC Barcelona,241,La Liga,53,"5'9""",5.77,68,LM,LW,Brazil,Left,89,91.1,88.8,85.6,88.4,54.8,90.8,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Pedri,Pedri,22,FC Barcelona,241,La Liga,53,"5'9""",5.71,60,CM,"CDM, CAM",Spain,Right,93,77,82.1,90.7,90.8,87,91,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Alisson,Alisson,32,Liverpool,9,Premier League,13,"6'4""",6.33,91,GK,,Brazil,Right,89,86.7,85.7,86.7,89,55,90.7,TRUE,DIV|HAN|KIC|REF|SPD|POS
Lamine Yamal,Lamine Yamal,17,FC Barcelona,241,La Liga,53,"5'11""",5.91,72,RM,RW,Spain,Left,95,86.4,86.5,88.4,91.1,30.5,73.2,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
T. Courtois,Thibaut Courtois,33,Real Madrid,243,La Liga,53,"6'7""",6.56,96,GK,,Belgium,Left,89,85.7,89.7,76.7,90,46.7,88.7,TRUE,DIV|HAN|KIC|REF|SPD|POS
F. Wirtz,Florian Wirtz,22,Liverpool,9,Premier League,13,"5'10""",5.81,71,CAM,"ST, CM",Germany,Right,93,81.5,85.3,91.4,91.1,51.7,66.6,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Vitinha,Vitinha,25,Paris Saint-Germain,73,Ligue 1,16,"5'8""",5.64,64,CM,"CDM, CAM",Portugal,Right,91,70,82.7,90.7,89.7,82.9,88,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
H. Kane,Harry Kane,31,FC Bayern München,21,Bundesliga,19,"6'2""",6.17,86,ST,,England,Right,89,65.2,93.5,87.1,88.6,90.8,87,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
A. Hakimi,Achraf Hakimi,26,Paris Saint-Germain,73,Ligue 1,16,"5'11""",5.94,73,RB,RM,Morocco,Right,90,93.6,77,86.5,88.7,82.8,96,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
A. Isak,Alexander Isak,25,Liverpool,9,Premier League,13,"6'4""",6.3,77,ST,,Sweden,Right,89,83.3,90.1,79.6,87.8,82.3,79.5,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Gabriel,Gabriel,27,Arsenal,1,Premier League,13,"6'3""",6.23,87,CB,,Brazil,Left,88,67.6,51.3,80,81.4,89.2,88.7,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
J. Musiala,Jamal Musiala,22,FC Bayern München,21,Bundesliga,19,"6'0""",6.04,72,CAM,"LM, CM, ST",Germany,Right,92,81.4,86.9,85.7,90.4,65.4,64,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
J. Oblak,Jan Oblak,32,Atlético Madrid,240,La Liga,53,"6'2""",6.17,87,GK,,Slovenia,Right,88,85.7,90.7,78.7,87,47,86.7,TRUE,DIV|HAN|KIC|REF|SPD|POS
L. Martínez,Lautaro Martínez,27,Inter,44,Serie A,31,"5'9""",5.71,72,ST,,Argentina,Right,88,82.4,92,79.1,86.9,86.8,81.1,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
B. Saka,Bukayo Saka,23,Arsenal,1,Premier League,13,"5'10""",5.84,65,RW,RM,England,Left,90,85.2,85.2,88.1,89,60.8,69.6,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
R. Lewandowski,Robert Lewandowski,36,FC Barcelona,241,La Liga,53,"6'1""",6.07,81,ST,,Poland,Right,88,74.6,91,85.1,88.3,87.8,90,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
K. De Bruyne,Kevin De Bruyne,34,Napoli,48,Serie A,31,"5'11""",5.94,75,CM,CAM,Belgium,Right,87,67,83.3,93.3,89.1,68.6,67,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
A. Bastoni,Alessandro Bastoni,26,Inter,44,Serie A,31,"6'3""",6.23,75,CB,,Italy,Left,89,77.6,39.5,83,86.9,88.4,83.8,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Y. Sommer,Yann Sommer,36,Inter,44,Serie A,31,"6'0""",6,77,GK,,Switzerland,Right,87,83.7,82.7,85.7,87.7,50.7,87.7,TRUE,DIV|HAN|KIC|REF|SPD|POS
M. Maignan,Mike Maignan,29,AC Milan,47,Serie A,31,"6'3""",6.27,89,GK,,France,Right,88,84.7,83.7,85.7,87.7,63.7,84.7,TRUE,DIV|HAN|KIC|REF|SPD|POS
W. Saliba,William Saliba,24,Arsenal,1,Premier League,13,"6'4""",6.33,85,CB,,France,Right,89,78.9,52.3,81,83,87.6,87.3,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
N. Barella,Nicolò Barella,28,Inter,44,Serie A,31,"5'9""",5.74,68,CM,,Italy,Right,87,79,82.1,88.2,88.5,86,90,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Marquinhos,Marquinhos,31,Paris Saint-Germain,73,Ligue 1,16,"6'0""",6,75,CB,,Brazil,Right,87,80.7,68.5,85,83.9,89.9,82.2,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
