type,name,country1,country2,country3,country4,country5,country6,country7,country8,country9,country10,country11,country12,country13,country14,country15,country16,country17,country18,country19,country20,country21
first,Aaron,Andorra,Belgium,England,Germany,Gibraltar,Netherlands,Northern Ireland,Spain,Wales,,,,,,,,,,,,
first,Aatos,Finland,,,,,,,,,,,,,,,,,,,,
first,Abel,Andorra,Gibraltar,Portugal,Spain,,,,,,,,,,,,,,,,,
first,Abzal,Kazakhstan,,,,,,,,,,,,,,,,,,,,
first,Achilleas,Cyprus,Greece,,,,,,,,,,,,,,,,,,,
first,Aco,North Macedonia,,,,,,,,,,,,,,,,,,,,
first,Adam,Belgium,Czechia,Denmark,England,France,Germany,Gibraltar,Hungary,Malta,Moldova,Monaco,Norway,Poland,Romania,Scotland,Slovakia,Sweden,Wales,,,
first,Adnan,Bosnia,,,,,,,,,,,,,,,,,,,,
first,Adrian,Andorra,Denmark,Gibraltar,Hungary,Moldova,Poland,Portugal,Romania,Spain,Sweden,,,,,,,,,,,
first,Adrien,Belgium,France,Liechtenstein,Monaco,Switzerland,,,,,,,,,,,,,,,,
first,Afonso,Portugal,,,,,,,,,,,,,,,,,,,,
first,Aghabala,Azerbaijan,,,,,,,,,,,,,,,,,,,,
first,Agim,Albania,Kosovo,,,,,,,,,,,,,,,,,,,
first,Ahmet,Turkey,,,,,,,,,,,,,,,,,,,,
first,Aibek,Kazakhstan,,,,,,,,,,,,,,,,,,,,
first,Aidan,England,Gibraltar,Northern Ireland,Republic of Ireland,Scotland,,,,,,,,,,,,,,,,
first,Aigars,Latvia,,,,,,,,,,,,,,,,,,,,
first,Aitor,Andorra,Gibraltar,Spain,,,,,,,,,,,,,,,,,,
first,Aivars,Latvia,,,,,,,,,,,,,,,,,,,,
first,Akos,Hungary,,,,,,,,,,,,,,,,,,,,
first,Alain,Belgium,France,Liechtenstein,Monaco,Switzerland,,,,,,,,,,,,,,,,
first,Alan,Northern Ireland,,,,,,,,,,,,,,,,,,,,
first,Albert,Austria,England,Germany,Gibraltar,Liechtenstein,Switzerland,,,,,,,,,,,,,,,
first,Alberto,Andorra,Gibraltar,Italy,San Marino,Spain,,,,,,,,,,,,,,,,
first,Albin,Sweden,,,,,,,,,,,,,,,,,,,,
first,Aled,Wales,,,,,,,,,,,,,,,,,,,,
first,Alejandro,Andorra,Gibraltar,Spain,,,,,,,,,,,,,,,,,,
first,Aleksa,Montenegro,Serbia,,,,,,,,,,,,,,,,,,,
first,Aleksandar,Bulgaria,Croatia,Montenegro,North Macedonia,Serbia,Slovenia,,,,,,,,,,,,,,,
first,Aleksander,Estonia,Norway,Poland,,,,,,,,,,,,,,,,,,
first,Aleksandr,Belarus,Russia,,,,,,,,,,,,,,,,,,,
first,Aleksandre,Georgia,,,,,,,,,,,,,,,,,,,,
first,Aleksei,Belarus,Russia,,,,,,,,,,,,,,,,,,,
first,Aleksi,Finland,,,,,,,,,,,,,,,,,,,,
first,Ales,Slovenia,,,,,,,,,,,,,,,,,,,,
first,Alessandro,Italy,San Marino,,,,,,,,,,,,,,,,,,,
first,Alessio,Italy,San Marino,,,,,,,,,,,,,,,,,,,
first,Alex,Andorra,Belgium,France,Germany,Gibraltar,Monaco,Portugal,Spain,,,,,,,,,,,,,
first,Alexander,Austria,Denmark,England,Germany,Gibraltar,Liechtenstein,Norway,Scotland,Switzerland,,,,,,,,,,,,
first,Alexandre,Belgium,France,Liechtenstein,Monaco,Switzerland,,,,,,,,,,,,,,,,
first,Alexandros,Cyprus,Greece,,,,,,,,,,,,,,,,,,,
first,Alexandru,Moldova,Romania,,,,,,,,,,,,,,,,,,,
first,Alexei,Belarus,Russia,,,,,,,,,,,,,,,,,,,
first,Alexey,Russia,,,,,,,,,,,,,,,,,,,,
first,Alfie,England,Gibraltar,,,,,,,,,,,,,,,,,,,
first,Alfonso,Andorra,Gibraltar,Spain,,,,,,,,,,,,,,,,,,
first,Alfred,England,Gibraltar,Iceland,Sweden,,,,,,,,,,,,,,,,,
